367 at: 565.63  st: 642.68  vt: 3.51  dt: 646.19
371 at: 574.80  st: 646.19  vt: 1.72  dt: 647.91
369 at: 571.60  st: 645.53  vt: 4.36  dt: 649.89
373 at: 579.03  st: 649.89  vt: 0.23  dt: 650.12
363 at: 555.26  st: 628.03  vt: 25.43  dt: 653.47
374 at: 579.59  st: 650.12  vt: 3.81  dt: 653.93
368 at: 569.83  st: 643.86  vt: 10.16  dt: 654.02
370 at: 572.40  st: 646.10  vt: 8.46  dt: 654.56
375 at: 582.21  st: 653.47  vt: 2.63  dt: 656.09
372 at: 578.42  st: 647.91  vt: 8.21  dt: 656.12
378 at: 585.88  st: 654.56  vt: 2.10  dt: 656.66
381 at: 588.10  st: 656.66  vt: 2.27  dt: 658.93
382 at: 589.11  st: 658.93  vt: 0.79  dt: 659.72
380 at: 587.99  st: 656.12  vt: 4.66  dt: 660.78
376 at: 583.00  st: 653.93  vt: 8.05  dt: 661.98
384 at: 590.09  st: 660.78  vt: 4.36  dt: 665.14
386 at: 590.79  st: 665.14  vt: 3.32  dt: 668.46
379 at: 586.06  st: 656.09  vt: 12.92  dt: 669.01
383 at: 589.94  st: 659.72  vt: 9.61  dt: 669.34
385 at: 590.24  st: 661.98  vt: 10.45  dt: 672.43
387 at: 591.32  st: 668.46  vt: 6.57  dt: 675.03
377 at: 584.66  st: 654.02  vt: 23.88  dt: 677.89
390 at: 593.71  st: 672.43  vt: 7.86  dt: 680.29
392 at: 594.44  st: 677.89  vt: 2.47  dt: 680.37
391 at: 593.96  st: 675.03  vt: 5.69  dt: 680.71
395 at: 599.81  st: 680.71  vt: 2.10  dt: 682.82
388 at: 591.60  st: 669.01  vt: 15.52  dt: 684.53
396 at: 603.63  st: 682.82  vt: 2.51  dt: 685.33
397 at: 604.57  st: 684.53  vt: 0.82  dt: 685.35
393 at: 594.90  st: 680.29  vt: 5.25  dt: 685.54
389 at: 591.72  st: 669.34  vt: 18.19  dt: 687.53
399 at: 605.70  st: 685.35  vt: 5.36  dt: 690.70
400 at: 606.89  st: 685.54  vt: 6.27  dt: 691.82
403 at: 608.56  st: 691.82  vt: 4.03  dt: 695.84
398 at: 605.34  st: 685.33  vt: 15.37  dt: 700.70
402 at: 607.91  st: 690.70  vt: 10.09  dt: 700.79
394 at: 599.62  st: 680.37  vt: 24.43  dt: 704.80
401 at: 607.81  st: 687.53  vt: 17.65  dt: 705.18
408 at: 614.74  st: 705.18  vt: 2.82  dt: 708.00
406 at: 609.94  st: 700.79  vt: 8.83  dt: 709.62
405 at: 609.21  st: 700.70  vt: 9.60  dt: 710.31
404 at: 608.82  st: 695.84  vt: 14.49  dt: 710.33
410 at: 615.05  st: 709.62  vt: 2.37  dt: 711.99
362 at: 554.64  st: 626.63  vt: 86.00  dt: 712.63
412 at: 616.81  st: 710.33  vt: 5.35  dt: 715.69
411 at: 616.61  st: 710.31  vt: 6.92  dt: 717.23
414 at: 622.86  st: 712.63  vt: 5.64  dt: 718.27
415 at: 623.42  st: 715.69  vt: 3.57  dt: 719.26
413 at: 617.90  st: 711.99  vt: 8.35  dt: 720.35
409 at: 614.96  st: 708.00  vt: 12.47  dt: 720.46
418 at: 625.12  st: 719.26  vt: 3.63  dt: 722.89
419 at: 629.01  st: 720.35  vt: 6.24  dt: 726.59
422 at: 636.92  st: 726.59  vt: 1.40  dt: 727.99
423 at: 637.74  st: 727.99  vt: 1.30  dt: 729.29
416 at: 624.79  st: 717.23  vt: 13.11  dt: 730.33
420 at: 634.13  st: 720.46  vt: 12.05  dt: 732.51
417 at: 625.09  st: 718.27  vt: 15.06  dt: 733.34
425 at: 640.81  st: 730.33  vt: 3.22  dt: 733.55
421 at: 635.88  st: 722.89  vt: 13.97  dt: 736.86
424 at: 640.08  st: 729.29  vt: 10.68  dt: 739.97
430 at: 646.42  st: 739.97  vt: 0.18  dt: 740.15
426 at: 642.25  st: 732.51  vt: 8.26  dt: 740.77
407 at: 613.36  st: 704.80  vt: 36.33  dt: 741.13
433 at: 649.13  st: 741.13  vt: 0.90  dt: 742.03
429 at: 644.68  st: 736.86  vt: 6.98  dt: 743.84
434 at: 650.62  st: 742.03  vt: 4.23  dt: 746.25
431 at: 647.42  st: 740.15  vt: 7.65  dt: 747.80
437 at: 659.94  st: 747.80  vt: 2.20  dt: 750.00
427 at: 643.41  st: 733.34  vt: 22.29  dt: 755.63
436 at: 654.57  st: 746.25  vt: 11.43  dt: 757.68
428 at: 643.96  st: 733.55  vt: 24.61  dt: 758.16
440 at: 665.93  st: 757.68  vt: 2.69  dt: 760.38
